areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-01-01,81595,22534,28224
E92000001,England,nation,2020-12-31,80904,22728,46694
E92000001,England,nation,2020-12-30,80203,22713,62879
E92000001,England,nation,2020-12-29,79548,21787,72507
E92000001,England,nation,2020-12-28,78934,20426,40038
E92000001,England,nation,2020-12-27,78319,19277,42437
E92000001,England,nation,2020-12-26,77707,18350,36711
E92000001,England,nation,2020-12-25,77114,17701,12674
E92000001,England,nation,2020-12-24,76556,18227,28692
E92000001,England,nation,2020-12-23,76053,17834,37609
E92000001,England,nation,2020-12-22,75534,18063,40898
E92000001,England,nation,2020-12-21,74995,17709,42595
E92000001,England,nation,2020-12-20,74489,16633,28940
E92000001,England,nation,2020-12-19,74034,16183,21740
E92000001,England,nation,2020-12-18,73577,15866,31834
E92000001,England,nation,2020-12-17,73099,15741,29601
E92000001,England,nation,2020-12-16,72636,15465,30132
E92000001,England,nation,2020-12-15,72250,15031,29096
E92000001,England,nation,2020-12-14,71842,15053,29509
E92000001,England,nation,2020-12-13,71420,14460,18128
E92000001,England,nation,2020-12-12,71010,13927,16027
E92000001,England,nation,2020-12-11,70599,13901,19866
E92000001,England,nation,2020-12-10,70175,13796,18537
E92000001,England,nation,2020-12-09,69768,13467,17457
E92000001,England,nation,2020-12-08,69387,13629,16661
E92000001,England,nation,2020-12-07,68989,13616,17393
E92000001,England,nation,2020-12-06,68610,13189,10868
E92000001,England,nation,2020-12-05,68247,12968,10141
E92000001,England,nation,2020-12-04,67902,12987,12882
E92000001,England,nation,2020-12-03,67482,12896,12523
E92000001,England,nation,2020-12-02,67072,13212,13464
E92000001,England,nation,2020-12-01,66724,13507,13521
E92000001,England,nation,2020-11-30,66365,13756,15022
E92000001,England,nation,2020-11-29,65980,13521,8904
E92000001,England,nation,2020-11-28,65557,13208,9204
E92000001,England,nation,2020-11-27,65168,13754,12267
E92000001,England,nation,2020-11-26,64781,13908,12268
E92000001,England,nation,2020-11-25,64401,14240,13931
E92000001,England,nation,2020-11-24,63965,14506,14028
E92000001,England,nation,2020-11-23,63542,14712,16205
E92000001,England,nation,2020-11-22,63113,14354,10035
E92000001,England,nation,2020-11-21,62693,14118,10618
E92000001,England,nation,2020-11-20,62280,14236,14678
E92000001,England,nation,2020-11-19,61873,14479,15493
E92000001,England,nation,2020-11-18,61466,14490,18205
E92000001,England,nation,2020-11-17,61022,14411,20323
E92000001,England,nation,2020-11-16,60644,14313,23723
E92000001,England,nation,2020-11-15,60282,13886,14212
E92000001,England,nation,2020-11-14,59907,13399,16033
E92000001,England,nation,2020-11-13,59540,13328,21648
E92000001,England,nation,2020-11-12,59188,12967,21951
E92000001,England,nation,2020-11-11,58831,12730,24637
E92000001,England,nation,2020-11-10,58514,12033,24472
E92000001,England,nation,2020-11-09,58185,12259,28097
E92000001,England,nation,2020-11-08,57781,11680,17968
E92000001,England,nation,2020-11-07,57434,11514,16616
E92000001,England,nation,2020-11-06,57086,11181,20831
E92000001,England,nation,2020-11-05,56747,10994,20874
E92000001,England,nation,2020-11-04,56447,11037,20691
